BROKERTITLE,TYPE,PRICE,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by Nest Seekers International, Long Island","Co-op for sale",325000,1,2183,"35-45 81st St Unit E1","Queens, NY 11372","35-45 81st St Unit E1, Queens, NY 11372","New York","Queens County",Queens,"Jackson Heights",35-45,"35-45 81st St e1, Jackson Heights, NY 11372, USA",40.7505078,-73.8851355
"Brokered by Century 21 Realty First","Multi-family home for sale",2250000,2.5,5670,"2361 81st St","Brooklyn, NY 11214","2361 81st St, Brooklyn, NY 11214",11214,"United States","New York","Kings County","81st Street","2361 81st St, Brooklyn, NY 11214, USA",40.602654,-73.9869399
"Brokered by Du Chris Realty","Co-op for sale",230000,1,2170,"33-24 Junction Blvd Unit 6R","Jackson Heights, NY 11372","33-24 Junction Blvd Unit 6R, Jackson Heights, NY 11372","United States","New York","Queens County",Queens,"Junction Boulevard","33-24 Junction Blvd, Jackson Heights, NY 11372, USA",40.7557689,-73.8734231
NoBroker,"Multi-family home for sale",925000,2,2750,"543 Hollywood Ave","Bronx, NY 10465","543 Hollywood Ave, Bronx, NY 10465","United States","New York","Bronx County","The Bronx","Hollywood Avenue","543 Hollywood Ave, Bronx, NY 10465, USA",40.8242389,-73.8173809
"Brokered by Get Listed Get Sold NYC","Condo for sale",329000,2,794,"47 Lynn Ct","Staten Island, NY 10314","47 Lynn Ct, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","Lynn Court","47 Lynn Ct, Staten Island, NY 10314, USA",40.6210398,-74.1504313
"Brokered by RJM Realty Empire Inc.","Multi-family home for sale",1300000,8,5040,"366 Union Ave Unit 4","Staten Island, NY 10303","366 Union Ave Unit 4, Staten Island, NY 10303","New York","Richmond County","Staten Island","Mariners Harbor",366,"366 Union Ave #4, Staten Island, NY 10303, USA",40.6274381,-74.1581613
"Brokered by H P Greenfield Real Estate Ltd","Co-op for sale",279000,1,750,"1801 Ocean Ave Apt 4A","Brooklyn, NY 11230","1801 Ocean Ave Apt 4A, Brooklyn, NY 11230","New York","Kings County",Brooklyn,Midwood,1801,"1801 Ocean Ave #4a, Brooklyn, NY 11230, USA",40.6179165,-73.9546305
"Brokered by Ashford Homes LLC","Condo for sale",528000,1,602,"1238 63rd St Unit 432","Brooklyn, NY 11219","1238 63rd St Unit 432, Brooklyn, NY 11219","New York","Kings County",Brooklyn,"Dyker Heights",1238,"1238 63rd St #432, Brooklyn, NY 11219, USA",40.6275896,-74.0016198
"Brokered by E Realty International Corp","Co-op for sale",275000,1,2181,"44-55 Kissena Blvd Unit 5F","Flushing, NY 11355","44-55 Kissena Blvd Unit 5F, Flushing, NY 11355","New York","Queens County",Queens,Flushing,44-55,"44-55 Kissena Blvd #5f, Flushing, NY 11355, USA",40.7528774,-73.8211834
"Brokered by Staten Island Homes Realty Corp","Multi-family home for sale",1199000,5,3290,"10 Simon Ct","Staten Island, NY 10307","10 Simon Ct, Staten Island, NY 10307","United States","New York","Richmond County","Staten Island","Simon Court","10 Simon Ct, Staten Island, NY 10307, USA",40.5159256,-74.2361135
"Brokered by Exp Realty","Multi-family home for sale",700000,2,3053,"229 W Tremont Ave Unit A","Bronx, NY 10453","229 W Tremont Ave Unit A, Bronx, NY 10453","United States","New York","Bronx County","The Bronx","West Tremont Avenue","229 W Tremont Ave, Bronx, NY 10453, USA",40.852813,-73.9176871
"Brokered by Century 21 Realty First","Multi-family home for sale",2150000,4,3200,"2226 63rd St","Brooklyn, NY 11204","2226 63rd St, Brooklyn, NY 11204","United States","New York","Kings County",Brooklyn,"63rd Street","2226 63rd St, Brooklyn, NY 11204, USA",40.614446,-73.9795824
"Brokered by E Realty International Corp","Multi-family home for sale",1280000,5,2460,"86-05 91st Ave","Woodhaven, NY 11421","86-05 91st Ave, Woodhaven, NY 11421","United States","New York","Queens County",Queens,"91st Avenue","86-05 91st Ave, Jamaica, NY 11421, USA",40.688312,-73.856322
"Brokered by Brown Harris Stevens","Co-op for sale",199900,1,2169,"828 Gerard Ave Apt 5F","Bronx, NY 10451","828 Gerard Ave Apt 5F, Bronx, NY 10451","New York","Bronx County","The Bronx",Concourse,828,"828 Gerard Ave #5f, Bronx, NY 10451, USA",40.8260352,-73.9256625
"Brokered by Winzone Realty Inc","Co-op for sale",369000,1,2171,"43-40 Union St Unit 3D","Flushing, NY 11355","43-40 Union St Unit 3D, Flushing, NY 11355","New York","Queens County",Queens,Flushing,43-40,"43-40 Union St #3d, Flushing, NY 11355, USA",40.753455,-73.8209077
"Brokered by Prestige Homes Ny Inc","Multi-family home for sale",699000,3,1591,"111-31 141st St","Jamaica, NY 11435","111-31 141st St, Jamaica, NY 11435","United States","New York","Queens County",Queens,"141st Street","111-31 141st St, Jamaica, NY 11435, USA",40.6847504,-73.8027331
"Brokered by Brown Harris Stevens","Co-op for sale",4250000,2,2400,"123 Prince St Unit 1","Manhattan, NY 10012","123 Prince St Unit 1, Manhattan, NY 10012","New York","New York County","New York",Manhattan,123,"123 Prince St Apt 1f, New York, NY 10012, USA",40.725464,-73.9999212
"Brokered by Weichert Realtors TMT Group","Multi-family home for sale",825000,2,2172,"32-39 Jordan St","Flushing, NY 11358","32-39 Jordan St, Flushing, NY 11358","United States","New York","Queens County",Queens,"Jordan Street","32-39 Jordan St, Flushing, NY 11358, USA",40.768457,-73.789417
"Brokered by American Homes Group","Condo for sale",329000,1,837,"55 Austin Pl Apt 4L","Staten Island, NY 10304","55 Austin Pl Apt 4L, Staten Island, NY 10304","New York","Richmond County","Staten Island","Mid Island",55,"55 Austin Pl APT 4L, Staten Island, NY 10304, USA",40.6315346,-74.0856344
"Brokered by Wonica REALTORS & Appraisers","Multi-family home for sale",889000,2,1520,"17 S Greenleaf Ave","Staten Island, NY 10314","17 S Greenleaf Ave, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","South Greenleaf Avenue","17 S Greenleaf Ave, Staten Island, NY 10314, USA",40.6233188,-74.1259917
"Brokered by First Class Homes Inc","Multi-family home for sale",769000,2,2186,"101-55 112th St","Richmond Hill South, NY 11419","101-55 112th St, Richmond Hill South, NY 11419","United States","New York","Queens County",Queens,"112th Street","101-55 112th St, South Richmond Hill, NY 11419, USA",40.6868333,-73.8309133
"Brokered by eXp Realty BKNY","Multi-family home for sale",1200000,2,2536,"66 Bay 22nd St","Brooklyn, NY 11214","66 Bay 22nd St, Brooklyn, NY 11214","United States","New York","Kings County",Brooklyn,"Bay 22nd Street","66 Bay 22nd St, Brooklyn, NY 11214, USA",40.6042861,-74.0012526
"Brokered by VYLLA HOME","Co-op for sale",220500,1,900,"350 Richmond Ter Apt 3M","Staten Island, NY 10301","350 Richmond Ter Apt 3M, Staten Island, NY 10301","New York","Richmond County","Staten Island","Mid Island",350,"350 Richmond Terrace Apt 3n, Staten Island, NY 10301, USA",40.6481488,-74.0847983
"Brokered by Douglas Elliman  -111 Fifth Ave","Co-op for sale",3250000,2,1300,"240 Centre St Unit 2M","New York, NY 10013","240 Centre St Unit 2M, New York, NY 10013","New York County","New York",Manhattan,"Centre Street","The Police Building","The Police Building, 240 Centre St #2b, New York, NY 10013, USA",40.7199716,-73.9980266
"Brokered by American Homes Group","House for sale",998800,4,2400,"1191 Clove Rd","Staten Island, NY 10301","1191 Clove Rd, Staten Island, NY 10301","United States","New York","Richmond County","Staten Island","Clove Road","1191 Clove Rd, Staten Island, NY 10301, USA",40.6175,-74.103996
"Brokered by American Homes Group","House for sale",998800,4,2400,"Waldron Ave","Staten Island, NY 10301","Waldron Ave, Staten Island, NY 10301",10301,"United States","New York","Richmond County","Mid Island","Waldron Ave, Staten Island, NY 10301, USA",40.618648,-74.1019085
"Brokered by DEGI - Douglas Elliman Real Estate","For sale",3150000,2,1952,"184 Lincoln Pl Unit 2","Brooklyn, NY 11217","184 Lincoln Pl Unit 2, Brooklyn, NY 11217","New York","Kings County",Brooklyn,"Park Slope",184,"184 Lincoln Pl #2, Brooklyn, NY 11217, USA",40.6754035,-73.9742051
"Brokered by Piastro Realty LLC","Co-op for sale",559500,1,800,"50 Brighton 1 Rd Unit 5H","Brooklyn, NY 11235","50 Brighton 1 Rd Unit 5H, Brooklyn, NY 11235","New York","Kings County",Brooklyn,"Brighton Beach",50,"50 Brighton 1st Rd #5h, Brooklyn, NY 11235, USA",40.5751942,-73.9669983
"Brokered by Douglas Elliman - 575 Madison Ave","Condo for sale",1900000,2,1029,"150 Rivington St Apt 3G","New York, NY 10002","150 Rivington St Apt 3G, New York, NY 10002","New York","New York County","New York",Manhattan,150,"150 Rivington St #3g, New York, NY 10002, USA",40.7193408,-73.9856438
"Brokered by Corcoran Williamsburg Bedford","Condo for sale",1250000,2,1201,"1105 Cortelyou Rd # 301","Brooklyn, NY 11218","1105 Cortelyou Rd # 301, Brooklyn, NY 11218","New York","Kings County",Brooklyn,Flatbush,1105,"1105 Cortelyou Rd #301, Brooklyn, NY 11218, USA",40.6400234,-73.9676099
"Brokered by COMPASS","Condo for sale",1395000,2,1182,"737 Bergen St Apt 1B","Brooklyn, NY 11238","737 Bergen St Apt 1B, Brooklyn, NY 11238","New York","Kings County",Brooklyn,"Prospect Heights",737,"737 Bergen St #1b, Brooklyn, NY 11238, USA",40.6787789,-73.9643728
"Brokered by Monticello Real Estate Group","Co-op for sale",198000,1,2192,"83-55 Woodhaven Blvd Unit 1A","Woodhaven, NY 11421","83-55 Woodhaven Blvd Unit 1A, Woodhaven, NY 11421","New York","Queens County",Queens,Woodhaven,83-55,"83-55 Woodhaven Blvd #1a, Woodhaven, NY 11421, USA",40.700309,-73.8535466
"Brokered by Ashford Homes","Multi-family home for sale",1489000,2.5,3780,"205 Wiman Ave","Staten Island, NY 10308","205 Wiman Ave, Staten Island, NY 10308","United States","New York","Richmond County","Staten Island","Wiman Avenue","205 Wiman Ave, Staten Island, NY 10308, USA",40.5395319,-74.1450877
"Brokered by Serhant","Condo for sale",1595000,3,1413,"924 Lafayette Ave Unit Ph","Brooklyn, NY 11221","924 Lafayette Ave Unit Ph, Brooklyn, NY 11221","United States","New York","Kings County",Brooklyn,"Lafayette Avenue","924 Lafayette Ave, Brooklyn, NY 11221, USA",40.6915139,-73.935444
"Brokered by E Realty International Corp","Multi-family home for sale",2880000,2.5,2350,"16-33 166th St","Whitestone, NY 11357","16-33 166th St, Whitestone, NY 11357","United States","New York","Queens County",Queens,"166th Street","16-33 166th St, Flushing, NY 11357, USA",40.7832094,-73.7967588
"Brokered by Momentum Real Estate LLC","Multi-family home for sale",798000,4,2150,"425 Father Capodanno Blvd","Staten Island, NY 10305","425 Father Capodanno Blvd, Staten Island, NY 10305","United States","New York","Richmond County","Staten Island","Father Capodanno Boulevard","425 Father Capodanno Blvd, Staten Island, NY 10305, USA",40.5874844,-74.0701056
"Brokered by Dom Realty, Inc","Land for sale",2550000,2.5,2187,"234 Ocean View Ave","Brooklyn, NY 11235","234 Ocean View Ave, Brooklyn, NY 11235","United States","New York","Kings County",Brooklyn,"Ocean View Avenue","234 Ocean View Ave, Brooklyn, NY 11235, USA",40.5785288,-73.9655666
"Brokered by Gosen Properties Inc",Foreclosure,269000,2,2186,"24149 148th Dr","Rosedale, NY 11422","24149 148th Dr, Rosedale, NY 11422","United States","New York","Queens County",Queens,"148th Drive","241-49 148th Dr, Jamaica, NY 11422, USA",40.6534433,-73.741373
"Brokered by Douglas Elliman - 575 Madison Ave","Condo for sale",1650000,2,1065,"200 E 94th St Apt 414","New York, NY 10128","200 E 94th St Apt 414, New York, NY 10128","New York","New York County","New York",Manhattan,200,"200 E 94th St APT 414, New York, NY 10128, USA",40.7833546,-73.9499982
"Brokered by Brown Harris Stevens - 1926 Broadway","Condo for sale",5750000,2,2223,"250 E 21st St Unit 12B","Manhattan, NY 10010","250 E 21st St Unit 12B, Manhattan, NY 10010","New York","New York County","New York",Manhattan,250,"250 E 21st St #12b, New York, NY 10010, USA",40.736608,-73.9822819
"Brokered by Sowae Corp","Multi-family home for sale",250000,2,2180,"130-24 150th St","Jamaica, NY 11436","130-24 150th St, Jamaica, NY 11436","United States","New York","Queens County",Queens,"150th Street","130-24 150th St, Jamaica, NY 11436, USA",40.66911,-73.789339
"Brokered by Charles Rutenberg Realty Inc",Pending,950000,2.5,3384,"254-06 Craft Ave Unit 2","Jamaica, NY 11422","254-06 Craft Ave Unit 2, Jamaica, NY 11422","New York","Queens County",Queens,Jamaica,254-06,"254-06 Craft Ave #2, Jamaica, NY 11422, USA",40.6499031,-73.7354706
"Brokered by BROWN HARRIS STEVENS BROOKLYN LLC","House for sale",8750000,6,2180,"8200 Narrows Ave","Brooklyn, NY 11209","8200 Narrows Ave, Brooklyn, NY 11209","United States","New York","Kings County",Brooklyn,"Narrows Avenue","8200 Narrows Ave, Brooklyn, NY 11209, USA",40.6282935,-74.0379695
"Brokered by Tom Marco Real Estate, Inc.","House for sale",595000,1,1316,"1509 E 48th St","Brooklyn, NY 11234","1509 E 48th St, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"East 48th Street","1509 E 48th St, Brooklyn, NY 11234, USA",40.6239146,-73.9291226
"Brokered by Engel & Volkers Brownstone Brooklyn","Condo for sale",215000,1,625,"195 Prince St Unit 1LL","New York, NY 10012","195 Prince St Unit 1LL, New York, NY 10012","New York","New York County","New York",Manhattan,195,"195 Prince St #1r, New York, NY 10012, USA",40.7267732,-74.002538
"Built by Toll Brothers","For sale",950000,1,621,"The Rockwell # 3A","New York, NY 10025","The Rockwell # 3A, New York, NY 10025","United States","New York","New York County","New York","West 103rd Street","218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035
"Brokered by Sowae Corp","House for sale",314000,1,1572,"850 E 39th St","Brooklyn, NY 11210","850 E 39th St, Brooklyn, NY 11210","United States","New York","Kings County",Brooklyn,"East 39th Street","850 E 39th St, Brooklyn, NY 11210, USA",40.6362368,-73.939679
"Brokered by Prospes Real Estate Corp","Multi-family home for sale",600000,2,2193,"1406 Mac Donough Pl","Bronx, NY 10465","1406 Mac Donough Pl, Bronx, NY 10465","United States","New York","Bronx County","The Bronx","Mac Donough Place","1406 Mac Donough Pl, Bronx, NY 10465, USA",40.8429545,-73.8249591
"Brokered by EXP Realty","Multi-family home for sale",790000,3,2520,"78 Mountainview Ave","Staten Island, NY 10314","78 Mountainview Ave, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","Mountainview Avenue","78 Mountainview Ave, Staten Island, NY 10314, USA",40.6105856,-74.1268175
"Brokered by STROFFOLINO REALTY LLC","Co-op for sale",539000,2,1100,"9425 Shore Rd Apt 4F","Brooklyn, NY 11209","9425 Shore Rd Apt 4F, Brooklyn, NY 11209","New York","Kings County",Brooklyn,"Fort Hamilton",9425,"9425 Shore Rd #4f, Brooklyn, NY 11209, USA",40.6170731,-74.0383836
"Brokered by Douglas Elliman - 3544 Johnson Ave","Co-op for sale",1295000,2,1995,"2501 Palisade Ave Apt H2","Bronx, NY 10463","2501 Palisade Ave Apt H2, Bronx, NY 10463","New York","Bronx County","The Bronx","Spuyten Duyvil",2501,"2501 Palisade Ave #2, Bronx, NY 10463, USA",40.8809873,-73.9224337
"Brokered by Sowae Corp","House for sale",245000,1,2173,"2942 Lurting Ave","Bronx, NY 10469","2942 Lurting Ave, Bronx, NY 10469","United States","New York","Bronx County","The Bronx","Lurting Avenue","2942 Lurting Ave, Bronx, NY 10469, USA",40.8690109,-73.8564445
"Brokered by Americas Real Estate Advisors","House for sale",400000,3,2385,"340 E 234th St","Bronx, NY 10470","340 E 234th St, Bronx, NY 10470","United States","New York","Bronx County","The Bronx","East 234th Street","340 E 234th St, Bronx, NY 10470, USA",40.8969146,-73.8654984
"Brokered by Douglas Elliman - 575 Madison Ave","House for sale",55000000,8,12000,"25 Riverside Dr","New York, NY 10023","25 Riverside Dr, New York, NY 10023","United States","New York","New York County","New York","Riverside Drive","25 Riverside Dr, New York, NY 10023, USA",40.782238,-73.9846322
"Brokered by Top Choice Realty LLC","House for sale",899000,2,1440,"40 Adelphi Ave","Staten Island, NY 10309","40 Adelphi Ave, Staten Island, NY 10309","United States","New York","Richmond County","Staten Island","Adelphi Avenue","40 Adelphi Ave, Staten Island, NY 10309, USA",40.5159004,-74.2314825
"Built by Toll Brothers","For sale",2280000,2,1400,"The Rockwell # 6E","New York, NY 10025","The Rockwell # 6E, New York, NY 10025","United States","New York","New York County","New York","West 103rd Street","218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035
"Brokered by Cross Country Realty","Coming Soon",649000,3,2165,"194 Carroll St","Brooklyn, NY 11231","194 Carroll St, Brooklyn, NY 11231","United States","New York","Kings County",Brooklyn,"Carroll Street","194 Carroll St, Brooklyn, NY 11231, USA",40.6813429,-73.9981509
"Brokered by Charles Rutenberg Realty Inc",Pending,739000,4,2182,"38 Dare Ct","Brooklyn, NY 11229","38 Dare Ct, Brooklyn, NY 11229","United States","New York","Kings County",Brooklyn,"Dare Court","38 Dare Ct, Brooklyn, NY 11229, USA",40.5877991,-73.9216187
"Brokered by AmeriHomes Realty","House for sale",1495000,2.5,3000,"31 4th Ct","Staten Island, NY 10312","31 4th Ct, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","4 Court","31 4 Ct, Staten Island, NY 10312, USA",40.5247627,-74.1681035
"Brokered by Douglas Elliman - 187 Seventh Ave","House for sale",3950000,2,3528,"591 4th St","Brooklyn, NY 11215","591 4th St, Brooklyn, NY 11215","United States","New York","Kings County",Brooklyn,"4th Street","591 4th St, Brooklyn, NY 11215, USA",40.6680619,-73.9748375
"Brokered by Avenues - Headquarters","Condo for sale",325000,1,979,"122 E 102nd St Apt 5B","New York, NY 10029","122 E 102nd St Apt 5B, New York, NY 10029","New York","New York County","New York",Manhattan,122,"122 E 102nd St #5b, New York, NY 10029, USA",40.7897507,-73.9487257
"Brokered by Corcoran Chelsea/Flatiron",Pending,299999,1,2205,"215 W 75th St Apt 4D","New York, NY 10023","215 W 75th St Apt 4D, New York, NY 10023","New York","New York County","New York",Manhattan,215,"215 W 75th St #4d, New York, NY 10023, USA",40.7810583,-73.9808407
"Brokered by Sotheby's International Realty - East Side Manhattan Brokerage","Townhouse for sale",2695000,5,4720,"327 Convent Ave","New York, NY 10031","327 Convent Ave, New York, NY 10031","United States","New York","New York County","New York","Convent Avenue","327 Convent Ave, New York, NY 10031, USA",40.8235127,-73.9467514
NoBroker,Pending,4800000,2.5,3958,"1151 83rd St","Brooklyn, NY 11228","1151 83rd St, Brooklyn, NY 11228","United States","New York","Kings County",Brooklyn,"83rd Street","1151 83rd St, Brooklyn, NY 11228, USA",40.6178184,-74.0151165
"Brokered by Douglas Elliman - 3544 Johnson Ave","House for sale",688888,2,2846,"761 S Oak Dr","Bronx, NY 10467","761 S Oak Dr, Bronx, NY 10467","United States","New York","Bronx County","The Bronx","South Oak Drive","761 S Oak Dr, Bronx, NY 10467, USA",40.8726182,-73.8651768
"Brokered by Sowae Corp","House for sale",400000,2,1980,"781 Sheperd Ave","Brooklyn, NY 11208","781 Sheperd Ave, Brooklyn, NY 11208","United States","New York","Kings County",Brooklyn,"Shepherd Avenue","781 Shepherd Ave, Brooklyn, NY 11208, USA",40.665357,-73.8770867
"Brokered by Sowae Corp","Multi-family home for sale",346000,2,2202,"103-12 104th St","Ozone Park, NY 11417","103-12 104th St, Ozone Park, NY 11417","United States","New York","Queens County",Queens,"104th Street","103-12 104th St, Jamaica, NY 11417, USA",40.6837891,-73.8381042
"Brokered by Sowae Corp","House for sale",265000,1,2188,"135-38 224th St","Springfield Gardens, NY 11413","135-38 224th St, Springfield Gardens, NY 11413","United States","New York","Queens County",Queens,"224th Street","135-38 224th St, Jamaica, NY 11413, USA",40.67538,-73.7472571
"Brokered by Winzone Realty Inc","House for sale",319000,2,1224,"57 Neutral Ave","Staten Island, NY 10306","57 Neutral Ave, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Neutral Avenue","57 Neutral Ave, Staten Island, NY 10306, USA",40.5604695,-74.1018925
"Brokered by Corcoran East Side","Townhouse for sale",24800000,8,2169,"45 E 74th St","New York, NY 10021","45 E 74th St, New York, NY 10021","United States","New York","New York County","New York","East 74th Street","45 E 74th St, New York, NY 10021, USA",40.772929,-73.9635462
"Brokered by Exp Realty","House for sale",1100000,4,3276,"421 W 154th St","New York, NY 10032","421 W 154th St, New York, NY 10032","United States","New York","New York County","New York","West 154th Street","421 W 154th St, New York, NY 10032, USA",40.8307115,-73.9424229
"Brokered by Sowae Corp","Multi-family home for sale",309000,2,2170,"2918 Brookhaven Ave","Far Rockaway, NY 11691","2918 Brookhaven Ave, Far Rockaway, NY 11691","United States","New York","Queens County",Queens,"Brookhaven Avenue","29-18 Brookhaven Ave, Far Rockaway, NY 11691, USA",40.5980695,-73.7632649
"Brokered by Keller Williams Realty Liberty","House for sale",650000,2,1522,"237-14 93rd Rd","Bellerose, NY 11426","237-14 93rd Rd, Bellerose, NY 11426","United States","New York","Queens County",Queens,"93rd Road","237-14 93rd Rd, Jamaica, NY 11426, USA",40.723245,-73.7293286
"Brokered by Rise Realty","House for sale",799000,2,1975,"604 Lamont Ave","Staten Island, NY 10312","604 Lamont Ave, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Lamont Avenue","604 Lamont Ave, Staten Island, NY 10312, USA",40.5387812,-74.193378
"Brokered by Serhant","Condo for sale",17500000,6,5499,"37 Warren St Unit Phcd","New York, NY 10007","37 Warren St Unit Phcd, New York, NY 10007","United States","New York","New York County","New York","Warren Street","37 Warren St, New York, NY 10007, USA",40.7143354,-74.0087443
"Brokered by Salmon Realty Group","Condo for sale",189000,2,966,"20 Cliff St Apt 6D","Staten Island, NY 10305","20 Cliff St Apt 6D, Staten Island, NY 10305","New York","Richmond County","Staten Island","Shore Acres",20,"20 Cliff St #6b, Staten Island, NY 10305, USA",40.6109595,-74.060351
"Brokered by Midas Realty","Condo for sale",759000,2,1200,"206-04 Emily Rd Unit 37M","Bayside, NY 11360","206-04 Emily Rd Unit 37M, Bayside, NY 11360","New York","Queens County",Queens,Bayside,206-4,"206-4 Emily Rd #37, Bayside, NY 11360, USA",40.7881763,-73.7877051
"Brokered by ONLY NINE REALTY LLC","House for sale",275000,1,2170,"579 E 29th St","Brooklyn, NY 11210","579 E 29th St, Brooklyn, NY 11210","United States","New York","Kings County",Brooklyn,"East 29th Street","579 E 29th St, Brooklyn, NY 11210, USA",40.6366859,-73.9488175
